,Mutation,Cancer,Value
0,WT,Lung,49.045209233433674
1,WT,Breast,42.63956849422221
2,WT,Lung,56.1943503386948
3,WT,Breast,49.028564386925254
4,Mutant,Breast,40.61758117599267
5,WT,Melanoma,48.71248834412085
6,Mutant,Lung,48.09396875765135
7,WT,Melanoma,39.184670237440834
8,WT,Lung,32.877693536472506
9,WT,Lung,69.96891025946837
10,Mutant,Lung,65.41175017216142
11,Mutant,Melanoma,69.66763971800577
12,Mutant,Breast,55.656412810018075
13,WT,Melanoma,48.65785722274428
14,WT,Melanoma,57.51842148911631
15,Mutant,Lung,56.38042881186885
16,Mutant,Breast,53.52194468589678
17,Mutant,Breast,71.83827454284179
18,Mutant,Breast,64.71832125609797
19,WT,Breast,61.07674008479988
20,WT,Lung,45.42872261957664
21,WT,Breast,63.098176881280835
22,Mutant,Lung,63.92348499476171
23,Mutant,Lung,54.03423872558558
24,WT,Breast,41.22842982276714
25,Mutant,Melanoma,64.9470225864456
26,WT,Lung,34.37328873662926
27,WT,Melanoma,57.331270292723346
28,Mutant,Lung,47.99310242378603
29,WT,Breast,27.31652099213389
30,Mutant,Breast,58.4041728247634
31,Mutant,Melanoma,77.29241690743466
32,Mutant,Lung,44.11646175201142
33,Mutant,Breast,26.222212668962193
34,WT,Breast,38.3852230865888
35,WT,Breast,52.059283890014704
36,WT,Lung,44.414021580146425
37,Mutant,Melanoma,77.31982454313479
38,Mutant,Lung,54.63633467181314
39,Mutant,Melanoma,75.88914218632358
40,WT,Melanoma,38.203651918465184
41,Mutant,Lung,59.76336690409619
42,Mutant,Melanoma,78.33880115091989
43,Mutant,Lung,68.13792691138835
44,Mutant,Lung,48.98291401775934
45,WT,Lung,42.52836199574192
46,WT,Breast,51.096507928714836
47,Mutant,Breast,62.58932155211902
48,Mutant,Melanoma,58.14080817662807
49,WT,Lung,57.29399433126534
50,WT,Lung,53.46952022689578
51,WT,Breast,36.304076603487786
52,Mutant,Lung,67.23427913460978
53,Mutant,Breast,53.67569637592486
54,WT,Melanoma,40.95103791700876
55,Mutant,Melanoma,65.55242197388078
56,Mutant,Lung,58.7713619586828
57,Mutant,Breast,48.62893500123262
58,Mutant,Breast,53.95246821071297
59,Mutant,Breast,53.489579853802084
60,WT,Breast,53.446260302031725
61,WT,Melanoma,55.08642390744844
62,WT,Melanoma,55.824215630001746
63,Mutant,Melanoma,58.190491212336426
64,WT,Lung,48.89943797417148
65,Mutant,Melanoma,62.93755070210715
66,WT,Breast,45.52225004550416
67,Mutant,Lung,41.58420846051268
68,Mutant,Breast,68.82942334460655
69,WT,Melanoma,49.86912838342321
70,WT,Lung,34.67546820514692
71,WT,Lung,53.038174844094314
72,Mutant,Melanoma,80.32915678945021
73,WT,Lung,46.77776373813241
74,WT,Lung,66.32637857367004
75,Mutant,Lung,54.342668526709986
76,Mutant,Lung,73.63776733629423
77,Mutant,Lung,53.763091905983494
78,Mutant,Lung,67.2039867978863
79,WT,Melanoma,45.93412666341953
80,Mutant,Lung,60.93745141884125
81,WT,Melanoma,39.3602067192479
82,WT,Breast,38.92577247727885
83,WT,Breast,29.356297458177288
84,WT,Breast,27.6625803125619
85,Mutant,Lung,48.84435723917137
86,Mutant,Breast,45.453661237399366
87,Mutant,Breast,52.511950561320326
88,WT,Breast,44.44912419544418
89,Mutant,Lung,57.820698873343964
90,WT,Breast,26.056819339370627
91,WT,Melanoma,54.383107836297796
92,Mutant,Lung,50.836878521349846
93,Mutant,Breast,68.56927927650003
94,Mutant,Melanoma,58.02340562347684
95,Mutant,Lung,38.22954347703863
96,Mutant,Melanoma,80.11233326757446
97,Mutant,Lung,47.718720128289554
98,WT,Breast,42.82764766368839
99,WT,Melanoma,51.300167565565005
100,Mutant,Melanoma,51.040468755720255
101,Mutant,Breast,58.24685411972314
102,Mutant,Lung,51.72325098187506
103,Mutant,Breast,60.030675303077665
104,Mutant,Breast,65.05549209004738
105,Mutant,Lung,60.74685824381592
106,Mutant,Melanoma,85.56680041303225
107,Mutant,Melanoma,65.81081654223001
108,Mutant,Melanoma,65.90283082654537
109,Mutant,Melanoma,81.16374539569674
110,WT,Breast,42.4902070101156
111,WT,Melanoma,41.847719157187
112,WT,Melanoma,39.60913851087873
113,WT,Melanoma,70.97767594403419
114,Mutant,Melanoma,39.94871838184237
115,Mutant,Melanoma,61.26002767816032
116,Mutant,Lung,28.498107564937985
117,WT,Breast,56.240054530877345
118,Mutant,Melanoma,67.86362992775273
119,Mutant,Melanoma,81.31831565982934
120,Mutant,Breast,55.372330438859066
121,Mutant,Melanoma,83.02750332773351
122,Mutant,Breast,57.49900450293557
123,Mutant,Lung,48.541322929086135
124,Mutant,Melanoma,74.7119600725496
125,WT,Melanoma,42.01896706466184
126,WT,Lung,38.40784808250842
127,WT,Melanoma,51.40873046996176
128,WT,Lung,47.2175453560156
129,Mutant,Lung,73.33792744809087
130,Mutant,Melanoma,80.24693297873827
131,WT,Lung,47.18332568793498
132,Mutant,Melanoma,43.72455613389274
133,WT,Melanoma,42.43542250885895
134,WT,Melanoma,45.01397132021517
135,Mutant,Lung,41.99604596890192
136,WT,Lung,50.88739613922508
137,Mutant,Lung,69.51377552721519
138,WT,Breast,43.22081819601172
139,Mutant,Melanoma,68.3009315192641
140,WT,Lung,53.5012716294189
141,WT,Breast,65.9628075855444
142,WT,Melanoma,37.231970917164986
143,WT,Melanoma,41.670081582511415
144,Mutant,Melanoma,61.54101120271878
145,Mutant,Breast,56.63732739259856
146,Mutant,Lung,57.98398748532856
147,WT,Lung,50.37669577117807
148,Mutant,Lung,53.44195188182335
149,WT,Lung,39.40488099148167
