Sample,TP53,EGFR,BRCA1,date
Sample_1,4.477336814478207,3.713572066704308,3.332204510175204,2024_09_01
Sample_2,4.356708826689592,4.07753744390572,3.258096538021482,2024_09_01
Sample_3,4.1588830833596715,3.9889840465642745,3.332204510175204,2024_09_01
Sample_4,4.5217885770490405,3.828641396489095,3.295836866004329,2024_09_01
Sample_5,4.04305126783455,3.9318256327243257,2.995732273553991,2024_09_01
Sample_6,4.248495242049359,3.8501476017100584,3.295836866004329,2024_09_01
Sample_7,4.477336814478207,3.9889840465642745,3.295836866004329,2024_09_01
Sample_8,4.219507705176107,3.7376696182833684,3.091042453358316,2024_09_01
Sample_9,4.276666119016055,3.970291913552122,2.995732273553991,2024_09_01
Sample_10,4.0943445622221,4.02535169073515,3.295836866004329,2024_09_01
Sample_11,4.0943445622221,3.7612001156935624,3.091042453358316,2024_09_01
Sample_12,4.290459441148391,4.04305126783455,3.091042453358316,2024_09_01
Sample_13,4.442651256490317,3.8501476017100584,2.995732273553991,2024_09_01
Sample_14,4.48863636973214,3.7612001156935624,3.1780538303479458,2024_09_01
Sample_15,4.290459441148391,3.713572066704308,3.367295829986474,2024_09_01
Sample_16,3.9512437185814275,3.8066624897703196,3.258096538021482,2024_09_01
Sample_17,4.2626798770413155,3.8918202981106265,3.367295829986474,2024_09_01
Sample_18,3.9318256327243257,3.7612001156935624,3.332204510175204,2024_09_01
Sample_19,4.290459441148391,4.04305126783455,3.258096538021482,2024_09_01
Sample_20,4.532599493153256,3.9318256327243257,3.332204510175204,2024_09_01
Sample_21,4.3694478524670215,3.713572066704308,3.295836866004329,2024_09_01
Sample_22,4.465908118654584,3.8918202981106265,3.044522437723423,2024_09_01
Sample_23,3.9318256327243257,3.7612001156935624,2.995732273553991,2024_09_01
Sample_24,4.248495242049359,3.970291913552122,3.258096538021482,2024_09_01
Sample_25,4.406719247264253,4.007333185232471,3.258096538021482,2024_09_01
